Id2,Estimate; Total,Margin of Error; Total
44007000101,4679,529
44007000102,4772,546
44007000200,6000,761
44007000300,7238,905
44007000400,3731,491
44007000500,3203,518
44007000600,2085,270
44007000700,2443,357
44007000800,4084,365
44007000900,2342,376
44007001000,2729,585
44007001100,2478,305
44007001200,2885,293
44007001300,4780,642
44007001400,6705,772
44007001500,3064,321
44007001600,9128,1011
44007001700,3496,389
44007001800,6582,635
44007001900,5162,779
44007002000,7380,624
44007002101,2633,392
44007002102,5163,755
44007002200,5259,561
44007002300,4412,534
44007002400,7063,479
44007002500,2640,360
44007002600,3049,578
44007002700,5261,473
44007002800,6353,876
44007002900,6679,878
44007003100,4584,678
44007003200,3169,370
44007003300,4001,309
44007003400,5209,356
44007003500,4918,455
44007003601,2874,432
44007003602,6022,463
44007003700,3801,485
44007010101,4117,262
44007010102,3548,210
44007010200,6615,599
44007010300,4078,306
44007010400,7043,517
44007010501,4580,377
44007010502,5083,396
44007010600,5606,612
44007010701,2298,183
44007010702,4131,205
44007010800,4484,475
44007010900,4729,530
44007011000,5478,438
44007011100,4696,626
44007011200,5773,377
44007011301,4245,287
44007011302,4173,161
44007011401,7837,347
44007011402,4442,211
44007011403,7235,339
44007011500,6303,466
44007011600,5881,301
44007011701,4692,303
44007011702,4301,332
44007011800,6499,556
44007011901,3042,357
44007011902,4887,396
44007012000,6186,370
44007012102,4116,328
44007012103,2981,310
44007012104,4424,339
44007012200,7639,469
44007012300,6297,466
44007012401,7092,495
44007012402,2595,209
44007012500,5265,410
44007012601,4382,304
44007012602,7053,362
44007012701,5381,364
44007012702,4638,225
44007012801,4868,306
44007012802,2355,197
44007012803,4796,278
44007012900,4993,369
44007013001,3839,335
44007013002,7183,368
44007013101,4833,250
44007013102,4968,256
44007013201,4803,226
44007013202,5556,227
44007013300,4628,25
44007013400,3813,291
44007013500,4810,545
44007013600,2987,272
44007013701,3775,340
44007013702,2559,275
44007013800,4601,304
44007013900,2742,197
44007014000,5606,570
44007014100,5260,621
44007014200,6149,273
44007014300,5005,378
44007014400,3783,286
44007014501,5160,224
44007014502,4301,267
44007014600,7244,512
44007014700,7409,684
44007014800,5266,391
44007015000,5032,480
44007015100,4495,455
44007015200,2192,316
44007015300,1959,244
44007015400,2251,299
44007015500,4578,411
44007015600,2608,339
44007015700,3582,314
44007015800,3918,333
44007015900,3011,385
44007016000,3139,347
44007016100,4723,555
44007016300,2758,206
44007016400,4232,426
44007016500,3724,256
44007016600,1759,220
44007016700,2960,399
44007016800,3025,298
44007016900,2093,237
44007017000,4561,406
44007017100,4563,424
44007017300,3345,324
44007017400,4162,426
44007017500,3198,310
44007017600,2504,309
44007017700,3680,342
44007017800,2847,269
44007017900,3004,545
44007018000,2668,336
44007018100,2792,381
44007018200,2522,311
44007018300,1775,341
44007018400,5777,563
44007018500,2839,326
